"","title","author","path","date","response"
"1","[新品] [全家] 美味廚房 系列","EShensh","/bbs/CVS/M.1083460076.A.7FE.html"," 5/02",""
"2","Re: [新品] [全家] 美味廚房 系列","EShensh","/bbs/CVS/M.1083505648.A.BC7.html"," 5/02","2"
"3","Re: [問題] 工讀生賠錢?","mimichen","/bbs/CVS/M.1083796998.A.178.html"," 5/05","2"
"4","今天上晚班..","vinefish","/bbs/CVS/M.1083892586.A.86D.html"," 5/07",""
"5","Re: 今天上晚班..","choroplast","/bbs/CVS/M.1083897041.A.84E.html"," 5/07",""
"6","[心得] 今天跟宅即便SD閒聊...  :P","mouse169","/bbs/CVS/M.1084057955.A.632.html"," 5/08","2"
"7","[問題] 板橋舊站那邊...","nomidrco","/bbs/CVS/M.1084382023.A.F6B.html"," 5/12","2"
"8","[推薦] 7-11的日式哈蜜瓜菠蘿","Uma","/bbs/CVS/M.1085347337.A.D49.html"," 5/23","10"
"9","[討論] 7-11爆米花完全爆破方法","isacjvdov","/bbs/CVS/M.1085623710.A.33E.html"," 5/27","5"
"10","大家覺得CVS該放哪??","eaqua","/bbs/CVS/M.1085862104.A.BA7.html"," 5/29","39"
"11","Re: 大家覺得CVS該放哪??","Iamaidiot","/bbs/CVS/M.1085868474.A.2B7.html"," 5/29","1"
"12","雖然7-11走的是親和路線","youcankillme","/bbs/CVS/M.1086040630.A.BA2.html"," 5/31","4"
"13","[情報] 萊爾富要轉型了~~~","eaqua","/bbs/CVS/M.1086090654.A.A9D.html"," 6/01",""
"14","Re: 雖然7-11走的是親和路線","howwell","/bbs/CVS/M.1086119914.A.D4C.html"," 6/01","1"
"15","Re: [情報] 萊爾富要轉型了~~~","NamieAmuro","/bbs/CVS/M.1086224578.A.0C9.html"," 6/03","2"
"16","大家上班沒有被搶的經驗嗎??","Adonisy","/bbs/CVS/M.1086265019.A.914.html"," 6/03","2"
"17","這裡可以問嗎？","machinly","/bbs/CVS/M.1086266993.A.279.html"," 6/03","1"
"18","[其它] 對某全家店員有好感..","fyatalon","/bbs/CVS/M.1086389766.A.DE3.html"," 6/04","1"
"19","[討論] 便利商店的服務","NamieAmuro","/bbs/CVS/M.1086482652.A.932.html"," 6/06","3"
"20","[問題] 急..發票對獎","prodia","/bbs/CVS/M.1086525159.A.924.html"," 6/06","8"
"21","[問題] 請問7-11是不是有在賣紙箱呢?","lonelystar06","/bbs/CVS/M.1086555450.A.4E2.html"," 6/06","6"
"22","[CVS] 看板 選情報導","[馬路探子]","/bbs/CVS/M.1086594908.A.html"," 6/07",""
"23","Re: [CVS] 看板 選情報導","eaqua","/bbs/CVS/M.1086599063.A.250.html"," 6/07",""
"24","Re: 大家上班沒有被搶的經驗嗎??","Agneta","/bbs/CVS/M.1086607022.A.DB8.html"," 6/07","8"
"25","過期的食物","zibra","/bbs/CVS/M.1086647637.A.70F.html"," 6/07",""
"26","Re: 請問大家..坐大夜班的..","Brtrb","/bbs/CVS/M.1086665056.A.6FE.html"," 6/08","1"
"27","Re: 請問大家..坐大夜班的..","jaykids","/bbs/CVS/M.1086672743.A.765.html"," 6/08","1"
"28","Re: 過期的食物","eaqua","/bbs/CVS/M.1086689242.A.09E.html"," 6/08",""
"29","我昨天上班耍笨了....","eaqua","/bbs/CVS/M.1086689797.A.011.html"," 6/08","3"
"30","Re: 過期的食物","Brtrb","/bbs/CVS/M.1086727626.A.82C.html"," 6/08",""
"31","Re: 我昨天上班耍笨了....","SDchi","/bbs/CVS/M.1086741084.A.4A7.html"," 6/09",""
"32","救命啊~~","IAMBB","/bbs/CVS/M.1086742155.A.296.html"," 6/09","3"
"33","Re: 救命啊~~","candywei","/bbs/CVS/M.1086746120.A.1CE.html"," 6/09",""
"34","Re: 我昨天上班耍笨了....","eaqua","/bbs/CVS/M.1086770061.A.D66.html"," 6/09","1"
"35","Re: 救命啊~~","IAMBB","/bbs/CVS/M.1086795412.A.F41.html"," 6/09","2"
"36","[怨念] 我恨標準化","Iamaidiot","/bbs/CVS/M.1087075657.A.205.html"," 6/12","2"
"37","請問有女生在便利商店作正職人員嗎?","somewhere2","/bbs/CVS/M.1087099584.A.EBF.html"," 6/13","3"
"38","Re: 請問有女生在便利商店作正職人員嗎?","youcankillme","/bbs/CVS/M.1087120364.A.6C3.html"," 6/13",""
"39","[提醒] 請在超商工作的朋友小心","Iamaidiot","/bbs/CVS/M.1087426909.A.3F7.html"," 6/16",""
"40","無言","Iamaidiot","/bbs/CVS/M.1087431274.A.C83.html"," 6/17","2"
"41","今天上中班","mouse169","/bbs/CVS/M.1087433103.A.F97.html"," 6/17",""
"42","[問題]一個無聊的問題","chris33","/bbs/CVS/M.1087434116.A.541.html"," 6/17","4"
"43","我想抱怨...","Elma428","/bbs/CVS/M.1087512461.A.09A.html"," 6/17","4"
"44","[問題] 有在便利商店打過工的人","cskatsu","/bbs/CVS/M.1087546768.A.FFA.html"," 6/18","1"
"45","Re: [提醒] 請在超商工作的朋友小心","eaqua","/bbs/CVS/M.1087561713.A.3BB.html"," 6/18","1"
"46","太有禮貌...我會害怕","jaykids","/bbs/CVS/M.1087796063.A.959.html"," 6/21","4"
"47","[問題] 拿中獎發票去便利商店一定要買200元以<U+A420>…","yuma","/bbs/CVS/M.1087823662.A.24C.html"," 6/21","2"
"48","Re: 太有禮貌...我會害怕","Elma428","/bbs/CVS/M.1087824142.A.3E8.html"," 6/21","2"
"49","Re: [問題] 拿中獎發票去便利商店一定要買200元以 …","PrincessP","/bbs/CVS/M.1087826981.A.0EB.html"," 6/21","1"
"50","[討論] 退貨問題","choroplast","/bbs/CVS/M.1087854414.A.F3D.html"," 6/21",""
"51","Re: [問題] 有在便利商店打過工的人","someman","/bbs/CVS/M.1087861503.A.7FC.html"," 6/21",""
"52","Re: [討論] 退貨問題","nogoodid","/bbs/CVS/M.1087885747.A.A2D.html"," 6/22",""
"53","[心得] 就讓我小小的發洩一下萊耳附吧","edmondl1971","/bbs/CVS/M.1087933359.A.5DA.html"," 6/22","2"
"54","Re: [討論] 退貨問題","jaykids","/bbs/CVS/M.1087945939.A.799.html"," 6/22",""
"55","[轉錄] 便利商店笑話","eaqua","/bbs/CVS/M.1088159339.A.7D9.html"," 6/25","1"
"56","[問題] 真的有連線器嗎？","candywei","/bbs/CVS/M.1088441017.A.16F.html"," 6/28","1"
"57","我又要抱怨了..>_<""","Elma428","/bbs/CVS/M.1088459883.A.028.html"," 6/28","2"
"58","Re: [問題] 真的有連線器嗎？","elaine312","/bbs/CVS/M.1088467611.A.710.html"," 6/29",""
"59","Re: [問題] 真的有連線器嗎？","aflower","/bbs/CVS/M.1088509644.A.339.html"," 6/29",""
"60","[其它] 全家真的那麼不有名嗎","candywei","/bbs/CVS/M.1088648408.A.5F9.html"," 7/01","5"
"61","我們學校附近的便利商店超多","cwtcwt","/bbs/CVS/M.1088655357.A.1DE.html"," 7/01","5"
"62","Re: [其它] 全家真的那麼不有名嗎","Adonisy","/bbs/CVS/M.1088676644.A.17D.html"," 7/01","3"
"63","我家的店長...運氣真不好><","jaykids","/bbs/CVS/M.1088727545.A.0E6.html"," 7/02",""
"64","[討論] 奇怪的某萊爾富..","vicki34","/bbs/CVS/M.1088779496.A.E25.html"," 7/02","2"
"65","[問題] 統一發票換東西?","hjshief","/bbs/CVS/M.1088799691.A.D23.html"," 7/02","5"
"66","[轉錄]怪老頭騷擾疑雲","davy012345","/bbs/CVS/M.1088804524.A.9ED.html"," 7/02","1"
"67","Re: [問題] 統一發票換東西?","eaqua","/bbs/CVS/M.1088844818.A.75F.html"," 7/03",""
"68","昨天在全家~~~","Adonisy","/bbs/CVS/M.1088859376.A.DF3.html"," 7/03","1"
"69","Re: [問題] 統一發票換東西?","asiasam","/bbs/CVS/M.1088893102.A.E1E.html"," 7/03","1"
"70","Re: 我們學校附近的便利商店超多","prettyjulia","/bbs/CVS/M.1088962652.A.1E1.html"," 7/04",""
"71","Re: [心得]以後還是不要把錢放在桌上的好","SDchi","/bbs/CVS/M.1088985552.A.5C4.html"," 7/04",""
"72","Re: [心得]以後還是不要把錢放在桌上的好","Adonisy","/bbs/CVS/M.1089019945.A.40C.html"," 7/05","2"
"73","[討論] 我想問個小小小問題...","mouse169","/bbs/CVS/M.1089067119.A.C06.html"," 7/05",""
"74","關於中獎發票兌換","coda","/bbs/CVS/M.1089070315.A.6F4.html"," 7/05","2"
"75","Re: [討論] 我想問個小小小問題...","woota","/bbs/CVS/M.1089070375.A.503.html"," 7/05",""
"76","[討論] 假煙","iloq","/bbs/CVS/M.1089079889.A.656.html"," 7/06",""
"77","Re: [討論] 假煙","FeverDance","/bbs/CVS/M.1089082767.A.BA1.html"," 7/06",""
"78","Re: [討論] 我想問個小小小問題...","FeverDance","/bbs/CVS/M.1089082950.A.587.html"," 7/06","1"
"79","Re: [討論] 我想問個小小小問題...","eaqua","/bbs/CVS/M.1089129461.A.332.html"," 7/06",""
"80","[新品] 微波冰品","shelaine","/bbs/CVS/M.1089258454.A.47A.html"," 7/08","2"
"81","[心得] 最近狂上早班...","mouse169","/bbs/CVS/M.1089308078.A.59A.html"," 7/08","1"
"82","店員也要做業績嗎~_~","econiauthe1","/bbs/CVS/M.1089342053.A.81D.html"," 7/09",""
"83","Re: 店員也要做業績嗎~_~","Iamaidiot","/bbs/CVS/M.1089375087.A.B1E.html"," 7/09","1"
"84","[問題]7-11的代收單據","anlinda1451","/bbs/CVS/M.1089414241.A.43B.html"," 7/09","2"
"85","如果遇到這種客人...","Elma428","/bbs/CVS/M.1089417545.A.ABB.html"," 7/09","3"
"86","Re: 如果遇到這種客人...","dunntw","/bbs/CVS/M.1089457214.A.D7B.html"," 7/10","1"
"87","小偷...","Elma428","/bbs/CVS/M.1089504931.A.D25.html"," 7/11",""
"88","Re: 店員也要做業績嗎~_~","CHiLDSPLAY","/bbs/CVS/M.1089513552.A.E9C.html"," 7/11","2"
"89","[討論] 哪家便利商店最大方??","eaqua","/bbs/CVS/M.1089623539.A.F95.html"," 7/12",""
